,Name,Link
361,Karl Tunberg,/name/nm0876562/?ref_=tt_cl_wr_2
362,David Lloyd,/name/nm2331222/?ref_=tt_cl_wr_3
363,Carl Foreman,/name/nm0286025/?ref_=tt_cl_wr_2
364,Martin McDonagh,/name/nm1732981/?ref_=tt_cl_wr_1
365,Malcolm Johnson,/name/nm0425711/?ref_=tt_cl_wr_2
366,Joseph Carter,/name/nm0141734/?ref_=tt_cl_wr_2
367,Shinobu Hashimoto,/name/nm0368074/?ref_=tt_cl_wr_2
368,Anthony Burgess,/name/nm0121256/?ref_=tt_cl_wr_2
369,Bill Lancaster,/name/nm0484111/?ref_=tt_cl_wr_1
370,Michel Gondry,/name/nm0327273/?ref_=tt_cl_wr_2
371,Ronald Harwood,/name/nm0367838/?ref_=tt_cl_wr_1
372,Jack Epps Jr.,/name/nm0258390/?ref_=tt_cl_wr_2
373,Jill Culton,/name/nm0191717/?ref_=tt_cl_wr_2
374,Robert Rodat,/name/nm0734441/?ref_=tt_cl_wr_1
375,Lew Wallace,/name/nm0908753/?ref_=tt_cl_wr_1
376,Shreyas Jain,/name/nm6328031/?ref_=tt_cl_wr_2
377,Ryûzô Kikushima,/name/nm0452878/?ref_=tt_cl_wr_2
378,Harry Kurnitz,/name/nm0475823/?ref_=tt_cl_wr_3
379,Krysty Wilson-Cairns,/name/nm4880670/?ref_=tt_cl_wr_2
380,Frederick Knott,/name/nm0461425/?ref_=tt_cl_wr_1
381,Carl Gottlieb,/name/nm0331956/?ref_=tt_cl_wr_2
382,Lana Wachowski,/name/nm0905154/?ref_=tt_cl_wr_2
383,George Lucas,/name/nm0000184/?ref_=tt_cl_wr_3
384,John Milius,/name/nm0587518/?ref_=tt_cl_wr_1
385,John Ridley,/name/nm0725983/?ref_=tt_cl_wr_1
386,Koyoharu Gotouge,/name/nm10281577/?ref_=tt_cl_wr_1
